number,name,position,positionGroup,side,classRaw,classLabel,eligibilityBucket,height,heightInches,weight,weightPounds,previousSchool,rosterSource
58,Liam Vaughan,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-1,73,295,295.0,,returning_2025
60,Brandon Smith,OL,OL,Offense,R-Sr.,Redshirt Senior,Senior / Graduate,6-4,76,315,315.0,Illinois State,college_newcomer
61,Jacob Krause,OL,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-6,78,285,285.0,,returning_2025
64,Nolan Miller,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-3,75,295,295.0,,returning_2025
65,Jeremy Schleicher,OL,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-3,75,305,305.0,,returning_2025
66,Munachimdainanma Newman-Nwodika,OL,OL,Offense,Fr.,Freshman,Freshman eligibility,6-3,75,260,260.0,,first_time_college
67,Ryan Westrich,OL,OL,Offense,Fr.,Freshman,Freshman eligibility,6-6,78,260,260.0,,first_time_college
68,Gavin Beachner,OL,OL,Offense,Fr.,Freshman,Freshman eligibility,6-6,78,324,324.0,,first_time_college
70,KJ Kotalik,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-8,80,328,328.0,,returning_2025
72,Gavin Dabo,OL,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-5,77,305,305.0,,returning_2025
73,Ben Roebuck,OL,OL,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-7,79,330,330.0,Michigan,college_newcomer
75,Spencer Beckeman,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-5,77,305,305.0,,returning_2025
76,Chad Schuster,OL,OL,Offense,R-Sr.,Redshirt Senior,Senior / Graduate,6-6,78,305,305.0,,returning_2025
77,Hunter Whitenack,OL,OL,Offense,R-Sr.,Redshirt Senior,Senior / Graduate,6-6,78,340,340.0,Illinois,returning_2025
78,Jacob Wilk,OL,OL,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-6,78,295,295.0,,returning_2025
80,Harper Hughes,WR,WR,Offense,Fr.,Freshman,Freshman eligibility,5-11,71,185,185.0,,first_time_college
81,Michael Dersa,TE,TE,Offense,Fr.,Freshman,Freshman eligibility,6-5,77,215,215.0,,first_time_college
83,Ryan Brotherton,TE,TE,Offense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-4,76,228,228.0,,returning_2025
86,Ryan Rocheleau,TE,TE,Offense,Fr.,Freshman,Freshman eligibility,6-4,76,230,230.0,,first_time_college
87,Brady Rhoad,TE,TE,Offense,R-Fr.,Redshirt Freshman,Freshman eligibility,6-3,75,235,235.0,,returning_2025
88,August Johanningsmeier,DE,DL,Defense,R-Sr.,Redshirt Senior,Senior / Graduate,6-4,76,280,280.0,,returning_2025
88,Nate Levicki,TE,TE,Offense,R-Sr.,Redshirt Senior,Senior / Graduate,6-2,74,245,245.0,Presbyterian,college_newcomer
89,Brennan Wooten,TE,TE,Offense,Sr.,Senior,Senior / Graduate,6-4,76,250,250.0,,returning_2025
90,Jori Benson,DT,DL,Defense,Gr.,Graduate,Senior / Graduate,6-3,75,290,290.0,Utah,returning_2025
91,Angelo Pugliano,DL,DL,Defense,Fr.,Freshman,Freshman eligibility,6-1,73,285,285.0,,first_time_college
93,Jayden Aswell,DL,DL,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-5,77,274,274.0,Butler CC,college_newcomer
94,Ahmed Tounkara,DT,DL,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-0,72,292,292.0,Ohio State,college_newcomer
95,DeShawn Robinson,DL,DL,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-2,74,303,303.0,Hope,returning_2025
96,Dalton Gustwiller,DL,DL,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-3,75,305,305.0,,returning_2025
97,Noah Bishop,DE,DL,Defense,R-So.,Redshirt Sophomore,Sophomore eligibility,6-4,76,245,245.0,,returning_2025
98,Dakari Frazier,DL,DL,Defense,R-Jr.,Redshirt Junior,Junior eligibility,6-3,75,280,280.0,Ball State,returning_2025
